15:53:12.311 -> Humidity: 52.50 %, Temp: 29.30 Celsius
15:55:02.756 -> Humidity: 30.70 %, Temp: 28.30 Celsius
15:55:04.779 -> Humidity: 30.90 %, Temp: 28.30 Celsius
15:55:06.797 -> Humidity: 31.00 %, Temp: 28.30 Celsius
15:55:08.788 -> Humidity: 31.50 %, Temp: 28.30 Celsius
15:55:10.803 -> Humidity: 31.70 %, Temp: 28.20 Celsius
15:55:12.816 -> Humidity: 31.80 %, Temp: 28.20 Celsius
15:55:14.801 -> Humidity: 31.70 %, Temp: 28.20 Celsius
15:55:16.822 -> Humidity: 31.60 %, Temp: 28.20 Celsius
15:55:18.825 -> Humidity: 31.40 %, Temp: 28.10 Celsius
15:55:20.853 -> Humidity: 31.50 %, Temp: 28.10 Celsius
15:55:22.841 -> Humidity: 31.50 %, Temp: 28.10 Celsius
15:55:24.867 -> Humidity: 31.30 %, Temp: 28.10 Celsius
15:55:26.851 -> Humidity: 31.10 %, Temp: 28.10 Celsius
15:55:28.869 -> Humidity: 30.90 %, Temp: 28.00 Celsius
15:55:30.881 -> Humidity: 30.80 %, Temp: 28.00 Celsius
15:55:32.889 -> Humidity: 30.60 %, Temp: 28.00 Celsius
15:55:34.903 -> Humidity: 30.40 %, Temp: 28.00 Celsius
15:55:36.921 -> Humidity: 30.00 %, Temp: 28.00 Celsius
15:55:38.921 -> Humidity: 30.50 %, Temp: 27.90 Celsius
15:55:40.933 -> Humidity: 30.90 %, Temp: 27.90 Celsius
15:55:42.941 -> Humidity: 30.80 %, Temp: 27.90 Celsius
15:55:44.925 -> Humidity: 30.40 %, Temp: 27.80 Celsius
15:55:46.933 -> Humidity: 30.20 %, Temp: 27.80 Celsius
15:55:48.953 -> Humidity: 30.70 %, Temp: 27.80 Celsius
15:55:50.971 -> Humidity: 31.20 %, Temp: 27.80 Celsius
15:55:52.982 -> Humidity: 31.20 %, Temp: 27.70 Celsius
15:55:54.996 -> Humidity: 31.00 %, Temp: 27.70 Celsius
15:55:56.973 -> Humidity: 31.00 %, Temp: 27.70 Celsius
15:55:59.001 -> Humidity: 31.00 %, Temp: 27.60 Celsius
15:56:01.020 -> Humidity: 31.00 %, Temp: 27.60 Celsius
15:56:02.999 -> Humidity: 31.10 %, Temp: 27.60 Celsius
15:56:05.013 -> Humidity: 31.20 %, Temp: 27.60 Celsius
15:56:07.027 -> Humidity: 31.20 %, Temp: 27.60 Celsius
15:56:09.025 -> Humidity: 31.10 %, Temp: 27.60 Celsius
15:56:11.034 -> Humidity: 31.00 %, Temp: 27.60 Celsius
15:56:13.046 -> Humidity: 30.90 %, Temp: 27.50 Celsius
15:56:15.063 -> Humidity: 31.60 %, Temp: 27.50 Celsius
15:56:17.069 -> Humidity: 31.80 %, Temp: 27.50 Celsius
15:56:19.074 -> Humidity: 31.90 %, Temp: 27.50 Celsius
15:56:21.071 -> Humidity: 31.70 %, Temp: 27.50 Celsius
15:56:23.093 -> Humidity: 31.60 %, Temp: 27.50 Celsius
15:56:25.112 -> Humidity: 31.40 %, Temp: 27.50 Celsius
15:56:27.095 -> Humidity: 30.90 %, Temp: 27.40 Celsius
15:56:29.133 -> Humidity: 30.70 %, Temp: 27.40 Celsius
15:56:31.115 -> Humidity: 30.40 %, Temp: 27.30 Celsius
15:56:33.131 -> Humidity: 30.30 %, Temp: 27.40 Celsius
15:56:35.150 -> Humidity: 30.30 %, Temp: 27.30 Celsius
15:56:37.165 -> Humidity: 30.70 %, Temp: 27.30 Celsius
15:56:39.160 -> Humidity: 31.60 %, Temp: 27.30 Celsius
15:56:41.176 -> Humidity: 32.80 %, Temp: 27.30 Celsius
15:56:43.190 -> Humidity: 33.30 %, Temp: 27.30 Celsius
15:56:45.201 -> Humidity: 33.70 %, Temp: 27.20 Celsius
15:56:47.179 -> Humidity: 34.20 %, Temp: 27.20 Celsius
15:56:49.208 -> Humidity: 34.50 %, Temp: 27.20 Celsius
15:56:51.225 -> Humidity: 34.20 %, Temp: 27.20 Celsius
15:56:53.211 -> Humidity: 33.80 %, Temp: 27.20 Celsius
15:56:55.234 -> Humidity: 33.70 %, Temp: 27.20 Celsius
15:56:57.249 -> Humidity: 33.70 %, Temp: 27.20 Celsius
15:56:59.242 -> Humidity: 33.50 %, Temp: 27.10 Celsius
15:57:01.254 -> Humidity: 33.50 %, Temp: 27.10 Celsius
15:57:03.268 -> Humidity: 33.60 %, Temp: 27.10 Celsius
15:57:05.278 -> Humidity: 33.40 %, Temp: 27.10 Celsius
15:57:07.287 -> Humidity: 33.10 %, Temp: 27.10 Celsius
15:57:09.277 -> Humidity: 32.80 %, Temp: 27.10 Celsius
15:57:11.279 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:13.290 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:15.310 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:17.326 -> Humidity: 32.60 %, Temp: 27.00 Celsius
15:57:19.309 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:21.324 -> Humidity: 32.60 %, Temp: 27.00 Celsius
15:57:23.338 -> Humidity: 32.60 %, Temp: 27.00 Celsius
15:57:25.364 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:27.350 -> Humidity: 32.70 %, Temp: 27.00 Celsius
15:57:29.360 -> Humidity: 32.60 %, Temp: 26.90 Celsius
15:57:31.365 -> Humidity: 32.50 %, Temp: 26.90 Celsius
15:57:33.393 -> Humidity: 32.50 %, Temp: 26.90 Celsius
15:57:35.384 -> Humidity: 32.30 %, Temp: 26.90 Celsius
15:57:37.400 -> Humidity: 31.90 %, Temp: 26.90 Celsius
15:57:39.423 -> Humidity: 32.00 %, Temp: 26.90 Celsius
15:57:41.414 -> Humidity: 31.90 %, Temp: 26.90 Celsius
15:57:43.438 -> Humidity: 31.60 %, Temp: 26.90 Celsius
15:57:45.424 -> Humidity: 31.50 %, Temp: 26.80 Celsius
15:57:47.439 -> Humidity: 31.60 %, Temp: 26.80 Celsius
15:57:49.453 -> Humidity: 31.40 %, Temp: 26.80 Celsius
15:57:51.469 -> Humidity: 31.40 %, Temp: 26.80 Celsius
15:57:53.448 -> Humidity: 31.10 %, Temp: 26.70 Celsius
15:57:55.472 -> Humidity: 30.90 %, Temp: 26.70 Celsius
15:57:57.486 -> Humidity: 30.70 %, Temp: 26.70 Celsius
15:57:59.482 -> Humidity: 30.60 %, Temp: 26.70 Celsius
15:58:01.507 -> Humidity: 30.40 %, Temp: 26.60 Celsius
15:58:03.499 -> Humidity: 30.40 %, Temp: 26.60 Celsius
15:58:05.502 -> Humidity: 30.50 %, Temp: 26.60 Celsius
15:58:07.534 -> Humidity: 31.20 %, Temp: 26.60 Celsius
15:58:09.528 -> Humidity: 31.80 %, Temp: 26.60 Celsius
15:58:11.547 -> Humidity: 31.90 %, Temp: 26.60 Celsius
15:58:13.552 -> Humidity: 31.90 %, Temp: 26.60 Celsius
15:58:15.548 -> Humidity: 31.90 %, Temp: 26.60 Celsius
15:58:17.567 -> Humidity: 31.90 %, Temp: 26.50 Celsius
15:58:19.582 -> Humidity: 31.80 %, Temp: 26.50 Celsius
15:58:21.595 -> Humidity: 32.10 %, Temp: 26.50 Celsius
15:58:23.603 -> Humidity: 32.40 %, Temp: 26.50 Celsius
15:58:25.598 -> Humidity: 32.90 %, Temp: 26.50 Celsius
15:58:27.618 -> Humidity: 33.40 %, Temp: 26.50 Celsius
15:58:29.601 -> Humidity: 34.30 %, Temp: 26.50 Celsius
15:58:31.603 -> Humidity: 34.50 %, Temp: 26.50 Celsius
15:58:33.627 -> Humidity: 34.50 %, Temp: 26.50 Celsius
15:58:35.650 -> Humidity: 34.50 %, Temp: 26.50 Celsius
15:58:37.644 -> Humidity: 34.40 %, Temp: 26.50 Celsius
15:58:39.655 -> Humidity: 34.40 %, Temp: 26.50 Celsius
15:58:41.646 -> Humidity: 34.20 %, Temp: 26.50 Celsius
15:58:43.675 -> Humidity: 33.80 %, Temp: 26.50 Celsius
15:58:45.693 -> Humidity: 33.40 %, Temp: 26.50 Celsius
15:58:47.674 -> Humidity: 33.10 %, Temp: 26.40 Celsius
15:58:49.696 -> Humidity: 32.80 %, Temp: 26.50 Celsius
15:58:51.712 -> Humidity: 32.50 %, Temp: 26.40 Celsius
